Shot,BES Start Time (ms),BES Stop Time (ms),Confinement Start Time (ms),Confinement Stop Time (ms),Logbook,L,H,QH,WP,Test only,LH transition,HL back-transition,QH-WP transition,WP-QH transition
179220,,,1400.239,2328.074,,,1,,,,,,,
179220,,,2339.137,4280,,,1,,,,,,,
179223,,,1258,1322.276,,,1,,,,,,,
179223,,,1331.838,3957,,,1,,,,,,,
179314,,,1423,5199.464,RMP,,1,,,1,,,,
179314,,,5201.059,6101,,,1,,,,,,,
179321,,,1226,5199.463,RMP,,1,,,1,,,,
179321,,,5210.065,5938,RMP,,1,,,1,,,,
179328,,,1076,4703,RMP,,1,,,1,,,,
179331,,,1194,4832,RMP,,1,,,1,,,,
179333,,,1258,3071,RMP,,1,,,1,,,,
179334,,,1188,2919,RMP,,1,,,1,,,,
179634,,,800,5000,,1,,,,,,,,
179677,,,1559,4565.869,,,1,,,,,,,
179677,,,4574.823,5023.767,,,1,,,,,,,
179677,,,5024.646,5058,,,1,,,,,,,
179678,,,1182,1933,,,1,,,,,,,
179678,,,2584,3464.877,,,1,,,,,,,
179678,,,3465.745,4106.671,,,1,,,,,,,
179678,,,4107.544,5020,,,1,,,,,,,
179703,,,1017,2440,,1,,,,,,,,
179704,,,1120,2033.569,,,1,,,,,,,
179704,,,2034.461,4747,,,1,,,,,,,
179712,,,982,984.97,,,1,,,,,,,
179712,,,995.049,1004.968,,,1,,,,,,,
179712,,,1015.051,1024.969,,,1,,,,,,,
179712,,,1035.051,1044.97,,,1,,,,,,,
179712,,,1055.052,1064.97,,,1,,,,,,,
179712,,,1075.05,1084.97,,,1,,,,,,,
179712,,,1095.051,1104.968,,,1,,,,,,,
179712,,,1115.052,1124.969,,,1,,,,,,,
179712,,,1135.052,1144.971,,,1,,,,,,,
179712,,,1155.052,1164.97,,,1,,,,,,,
179712,,,1175.054,1184.97,,,1,,,,,,,
179712,,,1195.05,1204.968,,,1,,,,,,,
179712,,,1215.053,1224.969,,,1,,,,,,,
179712,,,1225.543,1230.063,,,1,,,,,,,
179712,,,1235.051,1244.97,,,1,,,,,,,
179712,,,1255.052,1264.97,,,1,,,,,,,
179712,,,1275.055,1284.97,,,1,,,,,,,
179712,,,1295.769,4388.171,,,1,,,,,,,
179712,,,4389.146,4579,,,1,,,,,,,
179718,,,1100,1104.97,,,1,,,,,,,
179718,,,1105.205,1115.063,,,1,,,,,,,
179718,,,1115.068,1124.971,,,1,,,,,,,
179718,,,1125.194,1144.97,,,1,,,,,,,
179718,,,1145.197,1164.968,,,1,,,,,,,
179718,,,1165.194,1184.969,,,1,,,,,,,
179718,,,1185.172,1195.063,,,1,,,,,,,
179718,,,1195.069,1204.97,,,1,,,,,,,
179718,,,1205.176,1224.971,,,1,,,,,,,
179718,,,1225.176,1244.969,,,1,,,,,,,
179718,,,1245.209,1264.968,,,1,,,,,,,
179718,,,1265.206,1284.969,,,1,,,,,,,
179718,,,1285.178,1295.063,,,1,,,,,,,
179718,,,1299.757,5067,,,1,,,,,,,
179720,,,982,984.97,,,1,,,,,,,
179720,,,995.09,1004.97,,,1,,,,,,,
179720,,,1015.085,1024.969,,,1,,,,,,,
179720,,,1035.09,1044.968,,,1,,,,,,,
179720,,,1055.088,1064.97,,,1,,,,,,,
179720,,,1075.086,1084.97,,,1,,,,,,,
179720,,,1095.092,1104.97,,,1,,,,,,,
179720,,,1115.084,1124.969,,,1,,,,,,,
179720,,,1135.091,1144.968,,,1,,,,,,,
179720,,,1155.088,1164.97,,,1,,,,,,,
179720,,,1175.086,1184.97,,,1,,,,,,,
179720,,,1195.09,4662,,,1,,,,,,,
179727,,,918,924.969,,,1,,,,,,,
179727,,,935.077,944.97,,,1,,,,,,,
179727,,,955.066,964.97,,,1,,,,,,,
179727,,,975.07,984.969,,,1,,,,,,,
179727,,,995.063,1004.969,,,1,,,,,,,
179727,,,1015.068,1024.969,,,1,,,,,,,
179727,,,1035.073,1044.97,,,1,,,,,,,
179727,,,1055.067,1064.97,,,1,,,,,,,
179727,,,1075.065,1084.969,,,1,,,,,,,
179727,,,1095.064,1104.969,,,1,,,,,,,
179727,,,1115.071,1124.969,,,1,,,,,,,
179727,,,1135.07,1144.971,,,1,,,,,,,
179727,,,1155.068,1164.97,,,1,,,,,,,
179727,,,1175.063,1184.969,,,1,,,,,,,
179727,,,1195.063,4773,,,1,,,,,,,
179759,,,1000,1004.971,,,1,,,,,,,
179759,,,1015.071,1024.969,,,1,,,,,,,
179759,,,1035.072,1044.968,,,1,,,,,,,
179759,,,1055.072,1064.97,,,1,,,,,,,
179759,,,1075.083,1084.97,,,1,,,,,,,
179759,,,1095.075,1104.971,,,1,,,,,,,
179759,,,1115.071,1124.97,,,1,,,,,,,
179759,,,1135.069,1144.968,,,1,,,,,,,
179759,,,1155.071,1164.97,,,1,,,,,,,
179759,,,1175.08,1180.369,,,1,,,,,,,
179759,,,1195.076,5007,,,1,,,,,,,
179829,1000,6021.795,2109,4757,,,1,,,,,,,
179833,,,2110.059,5477,,,1,,,,,,,
179944,,,876,884.97,,,1,,,,,,,
179944,,,895.064,904.969,,,1,,,,,,,
179944,,,915.062,924.969,,,1,,,,,,,
179944,,,935.065,944.969,,,1,,,,,,,
179944,,,955.067,964.971,,,1,,,,,,,
179944,,,975.066,984.97,,,1,,,,,,,
179944,,,995.064,1004.969,,,1,,,,,,,
179944,,,1015.059,1024.969,,,1,,,,,,,
179944,,,1035.063,1044.969,,,1,,,,,,,
179944,,,1055.066,1064.971,,,1,,,,,,,
179944,,,1075.065,1084.97,,,1,,,,,,,
179944,,,1095.065,1104.969,,,1,,,,,,,
179944,,,1115.06,1124.969,,,1,,,,,,,
179944,,,1135.064,1144.969,,,1,,,,,,,
179944,,,1155.065,1164.971,,,1,,,,,,,
179944,,,1175.064,1184.97,,,1,,,,,,,
179944,,,1195.064,3099.261,,,1,,,,,,,
179944,,,3108.141,5273,,,1,,,,,,,
179959,,,1145,1949,,,1,,,,,,,
179960,,,1393,1869,,,1,,,,,,,
179961,,,1231,5011,,,1,,,,,,,
180354,400,5998.81,1529,5369,,,1,,,,,,,
180363,400,6017.81,1583,5391,,,1,,,,,,,
180536,900,6042.815,2262,5402,,,1,,,,,,,
180537,900,5926.815,2416,5366,,,1,,,,,,,
182627,400,4135.18,298,774,,1,,,,,,,,
182659,-50,5092.675,900,909,,1,,,,,,,,
182659,-50,5092.675,2229,3138,,,,,1,,,,,
182660,-50,5092.68,2140,3324,,,,,1,,,,,
182665,-50,5092.675,1800,2300,,,,1,,,,,,
182682,-50,5072.18,1948,3819,,,1,,,,,,,
184427,200,5908.73,280,1948,,1,,,,,1948,,,
184427,200,5908.73,1948,5369,,,1,,,,,,,
184429,200,5901.73,401,1922,,1,,,,,1922,,,
184429,200,5901.73,1922,5294,,,1,,,,,,,
184430,200,5899.73,401,1750,,1,,,,,1750,,,
184430,200,5899.73,1750,3819,,,1,,,,,,,
184431,200,5903.735,437,1624,,1,,,,,,,,
184431,200,5903.735,3027,3855,,,1,,,,,,,
184433,200,5907.73,365,1552,,1,,,,,,,,
184433,200,5907.73,3063,3927,,,1,,,,,,,
184434,200,5899.73,401,1588,,1,,,,,,,,
184434,,,2998,3173,,,1,,,,,3173,,
184437,200,5902.73,365,1588,,1,,,,,1718,,,
184437,200,5902.73,3027,3891,,,1,,,,,,,
184440,,,326,1709,,1,,,,,,,,
184441,,,300.067,1709,,1,,,,,,,,
184442,200,5902.23,401,1625,,1,,,,,1717,,,
184443,200,5907.23,293,1660,,1,,,,,1717,,,
184443,200,5907.23,3063,5366,,,1,,,,,,,
184444,200,5901.73,401,1624,,1,,,,,1717,,,
184445,200,5901.235,1876,5006,,,1,,,,,,,
184446,200,5904.23,1948,4862,,,1,,,,,,,
184448,200,5933.73,1984,4898,,,1,,,,,,,
184449,200,5952.735,1948,4934,,,1,,,,,,,
184451,200,5949.73,2020,4718,,,1,,,,,,,
184452,200,5952.235,1840,4826,,,1,,,,,,,
184453,200,5955.235,1768,4934,,,1,,,,,,,
184454,200,5957.73,1696,4970,,,1,,,,,,,
184458,200,5955.23,1696,4826,,,1,,,,,,,
184460,,,300.041,832.672,,1,,,,,,,,
184460,,,833.541,1862,,1,,,,,1862,,,
184460,,,1862,4669,,,1,,,,,,,
184461,,,1300.047,1377,,1,,,,,1377,,,
184461,,,1377,4931,,,1,,,,,,,
184463,200,5954.73,1984,4898,,,1,,,,,,,
184466,200,5952.735,1912,4970,,,1,,,,,,,
184467,200,5953.235,1804,5042,,,1,,,,,,,
184468,200,5952.73,1948,5042,,,1,,,,,,,
184471,,,1300.041,1419,,1,,,,,1419,,,
184471,,,1419,4140,,,1,,,,,,,
184473,,,1300.041,1312,,1,,,,,,,,
184475,200,6038.73,2020,4970,,,1,,,,,,,
184476,200,6043.235,1732,4790,,,1,,,,,,,
184773,,,2031,4370.373,,,,1,,,,,,
184796,,,1500.076,4462,,,,1,,,,,,
184801,,,1510.043,4439,,,,1,,,,,,
184807,200,4807.865,1500,1800,,,,1,,,,,,
184810,200,5322.865,1500,1900,,,,1,,,,,,
184812,200,5293.365,1500,2500,,,,1,,,,,,
184813,,,3250,4900,,,,1,,,,,,
184815,200,5246.365,1500,4500,,,,1,,,,,,
184818,200,5278.365,1500,4000,,,,1,,,,,,
184822,,,1050,1235,,,,1,,,,,1235,
184822,200,5798.865,1235,3719,,,,,1,,,,,
184825,,,1143,1179.972,,,,,1,,,,,
184825,,,1190.055,1229.972,,,,,1,,,,,
184825,,,1240.057,1279.972,,,,,1,,,,,
184825,,,1290.055,1329.972,,,,,1,,,,,
184825,,,1340.058,1379.972,,,,,1,,,,,
184825,,,1390.055,1429.972,,,,,1,,,,,
184825,,,1440.058,1479.972,,,,,1,,,,,
184825,,,1490.055,1529.972,,,,,1,,,,,
184825,,,1540.058,1579.972,,,,,1,,,,,
184825,,,1590.056,1629.972,,,,,1,,,,,
184825,,,1640.058,1679.972,,,,,1,,,,,
184825,,,1690.056,1729.972,,,,,1,,,,,
184825,,,1740.059,1779.972,,,,,1,,,,,
184825,,,1790.056,1829.972,,,,,1,,,,,
184825,,,1840.06,1879.972,,,,,1,,,,,
184825,,,1890.057,1929.972,,,,,1,,,,,
184825,,,1940.059,1979.972,,,,,1,,,,,
184825,,,1990.057,2029.972,,,,,1,,,,,
184825,,,2040.06,2079.972,,,,,1,,,,,
184825,,,2090.057,2129.972,,,,,1,,,,,
184825,,,2140.06,2179.972,,,,,1,,,,,
184825,,,2190.056,2229.972,,,,,1,,,,,
184825,,,2240.059,2279.972,,,,,1,,,,,
184825,,,2290.057,2329.972,,,,,1,,,,,
184825,,,2340.061,2379.972,,,,,1,,,,,
184825,,,2390.057,2429.972,,,,,1,,,,,
184825,,,2440.059,2479.972,,,,,1,,,,,
184825,,,2490.056,2529.972,,,,,1,,,,,
184825,,,2540.06,2579.972,,,,,1,,,,,
184825,,,2590.058,2629.972,,,,,1,,,,,
184825,,,2640.06,2679.972,,,,,1,,,,,
184825,,,2690.055,2729.972,,,,,1,,,,,
184825,,,2740.059,2779.972,,,,,1,,,,,
184825,,,2790.058,2829.972,,,,,1,,,,,
184825,,,2840.061,2879.972,,,,,1,,,,,
184825,,,2890.057,2929.972,,,,,1,,,,,
184825,,,2940.058,2979.972,,,,,1,,,,,
184825,,,2990.056,3029.972,,,,,1,,,,,
184825,,,3040.06,3079.972,,,,,1,,,,,
184825,,,3090.057,3129.972,,,,,1,,,,,
184825,,,3140.06,3179.972,,,,,1,,,,,
184825,,,3190.056,3229.972,,,,,1,,,,,
184825,,,3240.059,3279.972,,,,,1,,,,,
184825,,,3290.058,3329.972,,,,,1,,,,,
184825,,,3340.06,3379.972,,,,,1,,,,,
184825,,,3390.057,3429.972,,,,,1,,,,,
184825,,,3440.059,3479.972,,,,,1,,,,,
184825,,,3490.056,3529.972,,,,,1,,,,,
184825,,,3540.061,3579.972,,,,,1,,,,,
184825,,,3590.058,3629.972,,,,,1,,,,,
184825,,,3640.061,3679.972,,,,,1,,,,,
184825,,,3690.056,3729.972,,,,,1,,,,,
184825,,,3740.059,3779.972,,,,,1,,,,,
184825,,,3790.057,3829.972,,,,,1,,,,,
184825,,,3840.06,3879.972,,,,,1,,,,,
184825,,,3890.057,3929.972,,,,,1,,,,,
184825,,,3940.059,3979.972,,,,,1,,,,,
184825,,,3990.056,4004.972,,,,,1,,,,,
184825,,,4040.057,4054.973,,,,,1,,,,,
184825,,,4090.055,4104.973,,,,,1,,,,,
184825,,,4140.055,4154.973,,,,,1,,,,,
184825,,,4190.054,4204.973,,,,,1,,,,,
184826,,,2000,2029.973,,,,,1,,,,,
184826,,,2040.055,2079.973,,,,,1,,,,,
184826,,,2090.053,2129.973,,,,,1,,,,,
184826,,,2140.055,2179.973,,,,,1,,,,,
184826,,,2190.052,2229.973,,,,,1,,,,,
184826,,,2240.054,2279.973,,,,,1,,,,,
184826,,,2290.053,2329.973,,,,,1,,,,,
184826,,,2340.055,2379.973,,,,,1,,,,,
184826,,,2390.054,2429.973,,,,,1,,,,,
184826,,,2440.055,2479.973,,,,,1,,,,,
184826,,,2490.052,2529.973,,,,,1,,,,,
184826,,,2540.056,2579.973,,,,,1,,,,,
184826,,,2590.053,2629.973,,,,,1,,,,,
184826,,,2640.056,2654.864,,,,,1,,,,,
184826,,,2655.746,2679.973,,,,,1,,,,,
184826,,,2690.057,2729.973,,,,,1,,,,,
184826,,,2740.059,2779.973,,,,,1,,,,,
184826,,,2790.057,2829.973,,,,,1,,,,,
184826,,,2840.06,2879.973,,,,,1,,,,,
184826,,,2890.058,2929.973,,,,,1,,,,,
184826,,,2940.06,2979.973,,,,,1,,,,,
184826,,,2990.056,3029.973,,,,,1,,,,,
184826,,,3040.06,3079.973,,,,,1,,,,,
184826,,,3090.057,3129.973,,,,,1,,,,,
184826,,,3140.06,3179.973,,,,,1,,,,,
184826,,,3190.057,3206.273,,,,,1,,,,,
184826,,,3207.153,3229.973,,,,,1,,,,,
184826,,,3240.06,3279.973,,,,,1,,,,,
184826,,,3290.057,3329.973,,,,,1,,,,,
184826,,,3340.061,3379.973,,,,,1,,,,,
184826,,,3390.058,3429.973,,,,,1,,,,,
184826,,,3440.059,3479.973,,,,,1,,,,,
184826,,,3490.057,3529.973,,,,,1,,,,,
184826,,,3540.061,3579.973,,,,,1,,,,,
184826,,,3590.058,3629.973,,,,,1,,,,,
184826,,,3640.062,3679.973,,,,,1,,,,,
184826,,,3690.057,3729.973,,,,,1,,,,,
184826,,,3740.06,3779.973,,,,,1,,,,,
184826,,,3790.058,3829.973,,,,,1,,,,,
184826,,,3840.061,3879.973,,,,,1,,,,,
184826,,,3890.058,3929.973,,,,,1,,,,,
184826,,,3940.06,3979.973,,,,,1,,,,,
184826,,,3990.058,4000,,,,,1,,,,,
184829,,,1050,1160,,,,1,,,,,1160,
184829,,,1160,1330,,,,,1,,,,,
184829,,,1330,1334.972,,,,,1,,,,,
184829,,,1345.041,1384.972,,,,,1,,,,,
184829,,,1395.041,1434.972,,,,,1,,,,,
184829,,,1445.041,1484.972,,,,,1,,,,,
184829,,,1495.041,1534.972,,,,,1,,,,,
184829,,,1545.041,1584.972,,,,,1,,,,,
184829,,,1595.041,1634.972,,,,,1,,,,,
184829,,,1645.041,1684.972,,,,,1,,,,,
184829,,,1695.041,1734.972,,,,,1,,,,,
184829,,,1745.041,1784.972,,,,,1,,,,,
184829,,,1795.041,1810,,,,,1,,,,,
184858,,,2000.204,2035.871,,,,,1,,,,,
184858,,,2080.14,2103.472,,,,,1,,,,,
184858,,,2114.344,2158.571,,,,,1,,,,,
184858,,,2194.642,2238.771,,,,,1,,,,,
184858,,,2274.641,2328.872,,,,,1,,,,,
184858,,,2354.64,2398.572,,,,,1,,,,,
184858,,,2434.641,2478.572,,,,,1,,,,,
184858,,,2514.641,2558.471,,,,,1,,,,,
184858,,,2594.64,2638.372,,,,,1,,,,,
184858,,,2674.64,2718.272,,,,,1,,,,,
184858,,,2754.641,2756.07,,,,,1,,,,,
184858,,,2766.848,2810.871,,,,,1,,,,,
184858,,,2847.232,2890.972,,,,,1,,,,,
184858,,,2927.232,2970.973,,,,,1,,,,,
184858,,,3007.232,3058.972,,,,,1,,,,,
184858,,,3087.231,3138.871,,,,,1,,,,,
184858,,,3167.231,3218.772,,,,,1,,,,,
184858,,,3247.231,3298.772,,,,,1,,,,,
184858,,,3327.232,3378.772,,,,,1,,,,,
184858,,,3407.232,3458.771,,,,,1,,,,,
184858,,,3487.232,3538.771,,,,,1,,,,,
184858,,,3567.232,3618.672,,,,,1,,,,,
184858,,,3647.233,3689.071,,,,,1,,,,,
184858,,,3727.232,3769.172,,,,,1,,,,,
184858,,,3807.233,3849.072,,,,,1,,,,,
184858,,,3887.232,3929.072,,,,,1,,,,,
184858,,,4000.057,4211.251,,,,,1,,,,,
184858,,,4222.048,4320,,,,,1,,,,,
184861,,,2280.166,2282.972,,,,1,,,,,,
184861,,,2360.156,2372.073,,,,1,,,,,,
184861,,,2440.185,2452.072,,,,1,,,,,,
184861,,,2520.17,2532.072,,,,1,,,,,,
184861,,,2600.197,2612.072,,,,1,,,,,,
184861,,,2680.14,2692.073,,,,1,,,,,,
184861,,,2760.173,2772.073,,,,1,,,,,,
184861,,,2840.189,2852.073,,,,1,,,,,,
184861,,,2920.157,2931.972,,,,1,,,,,,
184861,,,3000.14,3012.072,,,,1,,,,,,
184861,,,3080.198,3092.073,,,,1,,,,,,
184861,,,3160.175,3171.973,,,,1,,,,,,
184861,,,3240.186,3251.973,,,,1,,,,,,
184861,,,3320.166,3331.972,,,,1,,,,,,
184861,,,3400.233,3411.972,,,,1,,,,,,
184861,,,3480.191,3491.972,,,,1,,,,,,
184968,,,2860.172,2870.073,,,,,1,,,,,
184968,,,2940.14,2947.372,,,,,1,,,,,
184968,,,3180.141,3185.072,,,,,1,,,,,
184968,,,3260.142,3267.073,,,,,1,,,,,
184968,,,3340.141,3350.373,,,,,1,,,,,
184968,,,3420.142,3433.673,,,,,1,,,,,
184968,,,3500.14,3516.873,,,,,1,,,,,
184968,,,3580.141,3600.072,,,,,1,,,,,
184968,,,3660.174,3683.272,,,,,1,,,,,
184968,,,3740.143,3766.472,,,,,1,,,,,
184968,,,3820.143,3849.572,,,,,1,,,,,
185458,,,300.098,2240,,1,,,,,2240,,,
185458,,,2240,3212,,,1,,,,,,,
185461,,,2373,3189,,,1,,,,,,,
185461,,,3500.094,3524.949,,1,,,,,,,,
185461,,,3600.094,3624.949,,1,,,,,,,,
185461,,,3700.094,3724.949,,1,,,,,,,,
185461,,,3800.094,3824.949,,1,,,,,,,,
185461,,,3900.094,3924.949,,1,,,,,,,,
185461,,,4000.094,4024.949,,1,,,,,,,,
185461,,,4100.095,4124.949,,1,,,,,,,,
185461,,,4200.094,4219.949,,1,,,,,,,,
185461,,,4240.095,4259.951,,1,,,,,,,,
185461,,,4280.097,4299.948,,1,,,,,,,,
185461,,,4320.093,4339.951,,1,,,,,,,,
185461,,,4360.094,4379.949,,1,,,,,,,,
185461,,,4400.095,4419.95,,1,,,,,,,,
185461,,,4480.097,4499.948,,,1,,,,,,,
185461,,,4520.095,4539.951,,,1,,,,,,,
185461,,,4560.095,4579.949,,,1,,,,,,,
185461,,,4600.095,4619.95,,,1,,,,,,,
185461,,,4640.094,4659.951,,,1,,,,,,,
185461,,,4680.097,4699.948,,,1,,,,,,,
185461,,,4720.094,4739.951,,,1,,,,,,,
185461,,,4760.095,4779.949,,,1,,,,,,,
185461,,,4800.094,4819.951,,,1,,,,,,,
185461,,,4840.093,4859.951,,,1,,,,,,,
185461,,,4880.096,4899.949,,,1,,,,,,,
185461,,,4920.093,4939.951,,,1,,,,,,,
185461,,,4960.095,4979.949,,,1,,,,,,,
185461,,,5000.095,5019.95,,,1,,,,,,,
185461,,,5040.095,5059.951,,,1,,,,,,,
185461,,,5080.097,5099.949,,,1,,,,,,,
185461,,,5120.094,5139.951,,,1,,,,,,,
185461,,,5160.094,5179.948,,,1,,,,,,,
185461,,,5200.095,5219.95,,,1,,,,,,,
185461,,,5240.094,5259.951,,,1,,,,,,,
185461,,,5280.097,5299.949,,,1,,,,,,,
185461,,,5320.093,5339.951,,,1,,,,,,,
185461,,,5360.094,5379.948,,,1,,,,,,,
185461,,,5400.095,5419.95,,,1,,,,,,,
185461,,,5440.094,5459.952,,,1,,,,,,,
185461,,,5480.096,5499.949,,,1,,,,,,,
185469,,,3350.081,3374.95,,,1,,,,,,,
185469,,,3400.081,3424.951,,,1,,,,,,,
185469,,,3450.081,3474.95,,,1,,,,,,,
185469,,,3500.081,3524.95,,,1,,,,,,,
185469,,,3600.08,3624.95,,,1,,,,,,,
185469,,,3800.08,3824.95,,1,,,,,,,,
185469,,,3900.08,3924.951,,1,,,,,,,,
185469,,,4000.08,4024.951,,1,,,,,,,,
185469,,,4100.08,4124.951,,1,,,,,,,,
185469,,,4200.08,4219.951,,1,,,,,,,,
185469,,,4240.084,4259.949,,1,,,,,,,,
185469,,,4280.087,4299.95,,1,,,,,,,,
185469,,,4320.081,4339.951,,1,,,,,,,,
185469,,,4360.08,4379.948,,1,,,,,,,,
185469,,,4400.081,4419.951,,1,,,,,,,,
185469,,,4440.085,4459.949,,1,,,,,,,,
185469,,,4480.087,4499.95,,1,,,,,,,,
185469,,,4520.081,4539.951,,1,,,,,,,,
185469,,,4560.081,4579.948,,1,,,,,,,,
185469,,,4600.081,4619.951,,1,,,,,,,,
185469,,,4640.084,4659.949,,1,,,,,,,,
185469,,,4680.087,4699.951,,1,,,,,,,,
185469,,,4720.081,4739.951,,1,,,,,,,,
185469,,,4760.08,4779.948,,1,,,,,,,,
185469,,,4800.081,4819.952,,1,,,,,,,,
185469,,,4840.084,4859.949,,1,,,,,,,,
185469,,,4880.087,4899.95,,1,,,,,,,,
185469,,,4920.081,4939.951,,1,,,,,,,,
185469,,,4960.081,4979.948,,1,,,,,,,,
185469,,,5000.081,5019.951,,1,,,,,,,,
185469,,,5040.085,5059.95,,1,,,,,,,,
185469,,,5080.087,5099.95,,1,,,,,,,,
185469,,,5160.081,5179.948,,,1,,,,,,,
185469,,,5200.082,5219.951,,,1,,,,,,,
185469,,,5240.085,5259.95,,,1,,,,,,,
185469,,,5280.087,5299.95,,,1,,,,,,,
185469,,,5320.081,5339.951,,,1,,,,,,,
185469,,,5360.081,5379.948,,,1,,,,,,,
185469,,,5400.082,5419.951,,,1,,,,,,,
185469,,,5440.085,5459.95,,,1,,,,,,,
185469,,,5480.088,5499.95,,,1,,,,,,,
185474,200,6391.08,365,2020,,1,,,,,,,,
185490,,,1800.109,1829.95,,,1,,,,,,,
185490,,,1850.109,1879.95,,,1,,,,,,,
185490,,,1900.109,1929.95,,,1,,,,,,,
185490,,,1950.109,1979.95,,,1,,,,,,,
185490,,,2000.104,2029.95,,,1,,,,,,,
185490,,,2050.108,2079.95,,,1,,,,,,,
185490,,,2100.105,2129.95,,,1,,,,,,,
185490,,,2150.109,2179.95,,,1,,,,,,,
185490,,,2200.104,2229.95,,,1,,,,,,,
185490,,,2250.108,2279.95,,,1,,,,,,,
185490,,,2300.105,2329.95,,,1,,,,,,,
185490,,,2350.106,2379.95,,,1,,,,,,,
185490,,,2400.106,2429.95,,,1,,,,,,,
185490,,,2450.105,2479.95,,,1,,,,,,,
185490,,,2500.105,2529.95,,,1,,,,,,,
185490,,,2550.106,2579.95,,,1,,,,,,,
185490,,,2600,3134,,,1,,,,,3134,,
185490,,,2600.106,3101,,,1,,,,,,,
185490,,,3134,3224,,1,,,,,,,,
185490,,,3134,3224,,1,,,,,,,,
185490,,,3300.107,3324.951,,1,,,,,,,,
185490,,,3400.107,3424.951,,1,,,,,,,,
185490,,,3500.109,3524.951,,1,,,,,,,,
185490,,,3600.11,3624.951,,1,,,,,,,,
185490,,,3700.109,3724.951,,1,,,,,,,,
185490,,,3800.109,3824.951,,1,,,,,,,,
185490,,,3900.108,3924.951,,1,,,,,,,,
185490,,,4000.109,4024.951,,1,,,,,,,,
185490,,,4100.109,4124.951,,1,,,,,,,,
185491,,,2050.085,2079.951,,,1,,,,,,,
185491,,,2100.085,2129.951,,,1,,,,,,,
185491,,,2150.085,2179.951,,,1,,,,,,,
185491,,,2200.085,2229.951,,,1,,,,,,,
185491,,,2250.084,2279.951,,,1,,,,,,,
185491,,,2300.085,2329.951,,,1,,,,,,,
185491,,,2350.085,2379.951,,,1,,,,,,,
185491,,,2400.085,2429.951,,,1,,,,,,,
185491,,,2450.084,2479.951,,,1,,,,,,,
185491,,,2500.085,2529.95,,,1,,,,,,,
185491,,,2550.085,2579.951,,,1,,,,,,,
185491,,,2600.085,3212,,,1,,,,,,,
185491,,,3416,3424.95,,1,,,,,,,,
185491,,,3500.084,3524.95,,1,,,,,,,,
185491,,,3600.085,3624.95,,1,,,,,,,,
185491,,,3700.085,3724.95,,1,,,,,,,,
185491,,,3800.085,3824.95,,1,,,,,,,,
185491,,,3900.085,3924.95,,1,,,,,,,,
185491,,,4000.085,4024.95,,1,,,,,,,,
185491,,,4100.085,4124.949,,1,,,,,,,,
185492,,,2600,2646,,1,,,,,2646,,,
185492,,,2646,3224.95,,,1,,,,,,,
185492,,,3300.087,3324.951,,,1,,,,,,,
185492,,,3600.089,3624.951,,1,,,,,,,,
185492,,,3700.088,3724.951,,1,,,,,,,,
185492,,,3800.089,3824.951,,1,,,,,,,,
185492,,,3900.089,3924.95,,1,,,,,,,,
185492,,,4000.089,4024.95,,1,,,,,,,,
185492,,,4100.089,4124.95,,1,,,,,,,,
185493,,,300.099,1029.951,,1,,,,,,,,
185493,,,1050.097,1079.951,,1,,,,,,,,
185493,,,1100.098,1129.951,,1,,,,,,,,
185493,,,1150.097,1179.951,,1,,,,,,,,
185493,,,1200.098,1229.951,,1,,,,,,,,
185493,,,1250.098,1279.951,,1,,,,,,,,
185493,,,1300.097,1329.951,,1,,,,,,,,
185493,,,1350.098,1379.951,,1,,,,,,,,
185493,,,1400.098,1429.951,,1,,,,,,,,
185493,,,1450.098,1479.951,,1,,,,,,,,
185493,,,1500.097,1529.951,,1,,,,,,,,
185493,,,1550.097,1579.951,,1,,,,,,,,
185493,,,1600.098,1629.951,,1,,,,,,,,
185493,,,1650.098,1679.951,,1,,,,,,,,
185493,,,1700.098,1729.951,,1,,,,,,,,
185493,,,1750.097,1779.951,,1,,,,,,,,
185493,,,1800.097,1829.951,,1,,,,,,,,
185493,,,1850.098,1879.951,,1,,,,,,,,
185493,,,1900.097,1929.951,,1,,,,,,,,
185493,,,1950.098,1979.951,,1,,,,,,,,
185493,,,2000.095,2029.951,,1,,,,,,,,
185493,,,2050.098,2079.951,,1,,,,,,,,
185493,,,2100.096,2129.951,,1,,,,,,,,
185493,,,2150.097,2179.951,,1,,,,,,,,
185493,,,2200.095,2229.951,,1,,,,,,,,
185493,,,2250.097,2279.951,,1,,,,,,,,
185493,,,2300.096,2329.951,,1,,,,,,,,
185493,,,2350.097,2379.951,,1,,,,,,,,
185493,,,2400.097,2429.951,,1,,,,,,,,
185493,,,2450.096,2479.951,,1,,,,,,,,
185493,,,2500.096,2529.951,,1,,,,,,,,
185493,,,2550.096,2579.951,,1,,,,,,,,
185493,,,2600.096,2642,,1,,,,,,,,
185493,,,2667,3224.949,,,1,,,,,,,
185493,,,3300.096,3324.95,,,1,,,,,,,
185493,,,3600.098,3624.95,,1,,,,,,,,
185493,,,3700.097,3724.95,,1,,,,,,,,
185493,,,3800.098,3824.95,,1,,,,,,,,
185493,,,3900.098,3924.951,,1,,,,,,,,
185493,,,4000.098,4024.95,,1,,,,,,,,
185493,,,4100.098,4124.95,,1,,,,,,,,
185497,,,300.091,1029.95,,1,,,,,,,,
185497,,,1050.092,1079.95,,1,,,,,,,,
